INFO 2021-03-08 10:54:09,118 - Start index that was given to function: 50
INFO 2021-03-08 10:54:14,705 - cfg has been opened...
INFO 2021-03-08 10:54:14,705 - Number of analog channels detected: 8
INFO 2021-03-08 10:54:14,705 - Voltages have been searched for...
INFO 2021-03-08 10:54:14,705 - Voltages have been searched for...
INFO 2021-03-08 10:54:14,706 - Voltages have been searched for...
INFO 2021-03-08 10:54:14,706 - Voltages have been searched for...
INFO 2021-03-08 10:54:14,706 - Currents have been searched for...
INFO 2021-03-08 10:54:14,706 - Currents have been searched for...
INFO 2021-03-08 10:54:14,706 - Currents have been searched for...
INFO 2021-03-08 10:54:14,706 - Currents have been searched for...
INFO 2021-03-08 10:54:14,756 - All arrays have been added to the vectors...
INFO 2021-03-08 10:54:14,756 - Detecting fault by amplitude...
INFO 2021-03-08 10:54:14,760 - Amplitude determined at: 1614
INFO 2021-03-08 10:54:14,763 - Amplitude determined at: 1609
INFO 2021-03-08 10:54:14,767 - Amplitude determined at: 1611
INFO 2021-03-08 10:54:14,792 - Fault Detector called... with start value: 50
INFO 2021-03-08 10:54:14,807 - Fault Detector called... with start value: 50
INFO 2021-03-08 10:54:14,822 - Fault Detector called... with start value: 50
INFO 2021-03-08 10:54:14,838 - First fault index have been assigned...
INFO 2021-03-08 10:54:14,838 - Max Index singal length for second fault to start at: 2611
INFO 2021-03-08 10:54:14,863 - Fault Detector called... with start value: 2611
WARNING 2021-03-08 10:54:14,868 - NO FAULT FOUND ON THE NEUTRAL PHASE!!!
INFO 2021-03-08 10:54:14,873 - Fault Detector called... with start value: 2611
WARNING 2021-03-08 10:54:14,878 - NO FAULT FOUND ON THE NEUTRAL PHASE!!!
INFO 2021-03-08 10:54:14,883 - Fault Detector called... with start value: 2611
WARNING 2021-03-08 10:54:14,888 - NO FAULT FOUND ON THE NEUTRAL PHASE!!!
INFO 2021-03-08 10:54:14,894 - NO SECOND FAULT DETECTED...
INFO 2021-03-08 10:54:14,895 - Second fault index have been assigned if if there was a second fault
INFO 2021-03-08 10:54:15,072 - end of class, plots to be shown next
